INDEX,Intercept,ORI1,ORI3,ENV2,CLA2,CLA3,EXC2,EXC3,NEW2,INF2,INF3,PRICE
346,2.242,-0.086,0.121,-0.369,0.009,0.491,0.048,-0.08,0.362,1.043,0.928,0.231
347,5.746,0.24,0.626,-0.264,0.808,0.171,1.343,-3.967,0.292,0.969,1.045,1.648
348,4.161,1.06,-1.393,0.134,0.151,-0.287,0.189,-1.41,-0.0,2.477,0.999,0.731
349,7.28,-1.871,0.322,0.411,0.819,0.209,0.286,0.308,0.32,0.293,0.215,0.344
350,3.554,-0.06,1.313,-0.134,0.165,0.601,-0.05,0.301,0.014,0.013,0.624,1.438
359,5.622,0.202,0.233,0.221,0.2,0.159,1.019,-3.029,0.223,0.23,0.161,0.224
366,4.765,-0.371,0.14,-0.048,-0.815,-0.272,0.06,0.182,0.527,1.315,2.055,0.919
368,3.377,0.11,-0.052,0.142,0.221,0.337,0.58,-1.258,0.443,0.334,0.226,0.162
369,7.601,0.414,0.197,-0.236,-0.706,0.05,0.071,0.643,0.171,0.965,0.471,0.523
370,2.508,1.318,0.512,-0.614,-0.696,0.957,-0.041,0.644,0.725,1.746,1.983,-0.473
373,3.391,-0.998,0.417,0.377,0.365,0.22,-1.194,-0.723,0.817,1.175,2.388,0.189
374,6.598,0.186,0.854,-0.895,0.281,0.247,-0.012,0.665,-0.102,0.362,0.523,0.039
378,4.281,0.333,0.825,-0.117,-0.322,-0.59,0.261,0.352,0.252,0.811,0.88,0.348
382,4.913,0.46,-0.089,0.288,-0.431,-1.557,0.612,-2.551,0.622,0.063,0.488,0.149
387,4.163,0.067,1.287,-0.633,0.74,-0.15,1.109,-1.138,0.648,0.755,0.863,1.965
388,3.369,0.526,-0.143,0.358,-0.03,0.119,-0.283,0.161,0.016,0.692,0.965,0.64
389,3.358,0.343,0.448,-0.265,0.014,0.349,0.918,-0.539,0.195,0.436,0.65,0.331
395,5.669,0.342,0.248,-0.243,-0.318,-2.024,0.659,-2.262,0.306,-0.061,0.016,0.804
398,3.699,0.551,0.499,-0.124,0.085,0.656,0.367,-0.544,0.011,0.241,0.799,0.513
399,3.155,0.502,0.12,-0.408,0.285,0.87,0.655,0.658,0.56,0.881,0.889,1.389
402,5.46,0.556,0.827,-0.208,-0.127,0.274,0.629,-0.853,-0.141,0.539,0.742,0.258
403,5.801,0.116,0.169,-0.426,-0.446,-0.487,0.758,0.185,0.511,0.401,1.688,0.165
408,2.194,0.284,0.595,-0.231,0.382,0.148,-0.129,-0.023,-0.051,0.73,1.591,0.028
413,2.823,0.121,0.453,-0.556,-0.564,0.122,0.852,0.377,0.179,2.685,1.438,0.567
414,5.698,0.253,0.374,0.234,0.03,0.251,-1.353,-4.492,0.047,0.271,0.232,0.35
415,1.411,0.387,0.377,-0.123,0.379,-0.315,-0.146,-0.361,-0.26,0.193,5.223,0.375
416,2.848,0.283,-0.056,0.274,-0.187,0.762,-0.19,-0.75,0.069,-0.391,2.802,-0.847
417,1.601,0.046,0.029,-0.39,0.139,0.259,-0.065,0.402,0.104,0.446,2.444,0.119
420,3.763,0.142,-0.784,-0.529,-0.176,1.813,-0.008,0.673,-0.495,0.06,-0.219,0.435
421,4.034,0.539,0.225,-0.102,-0.248,-1.997,-0.049,-0.843,-0.091,0.007,0.474,0.679
422,3.584,0.175,0.259,-0.1,-0.275,0.116,0.568,-2.484,0.045,0.271,0.114,0.463
423,2.1,-0.061,-0.138,-0.173,0.031,0.038,0.028,-0.078,0.09,1.556,3.529,-0.093
424,3.268,-0.2,0.577,0.607,0.48,-0.471,-3.169,-2.267,0.937,-0.059,-0.482,0.131
427,1.63,0.335,-0.11,0.022,-0.127,0.367,-0.102,0.337,-0.275,-0.28,5.605,0.331
431,3.854,1.319,0.622,-0.458,1.445,-0.288,0.95,0.147,-0.14,0.866,0.489,0.513
433,3.133,-1.147,-1.388,0.061,0.204,0.981,0.092,0.414,0.454,0.213,-0.48,1.883
434,4.209,1.111,0.481,-0.555,-1.046,0.229,1.105,-1.005,0.042,0.852,1.536,0.376
435,5.545,0.896,0.161,0.337,-0.582,-2.288,-0.747,1.276,-0.842,-0.046,-0.228,1.848
438,4.321,0.673,0.874,-0.346,0.001,0.094,0.212,-0.137,0.602,0.263,0.372,1.658
439,2.531,0.085,0.101,-0.144,-0.061,0.096,-0.052,0.07,-0.319,5.222,0.071,0.106
443,4.712,0.353,0.564,0.173,-1.087,0.118,0.477,0.236,0.106,0.008,0.851,0.132
445,2.503,0.293,0.282,-0.167,-0.384,-0.175,0.055,-0.156,0.071,0.285,1.55,0.078
453,5.246,0.409,0.655,-0.293,0.078,0.235,0.775,-1.705,-0.484,0.542,0.545,0.444
460,4.332,1.035,0.594,-0.134,-0.763,-0.349,-0.205,1.485,-0.102,0.355,2.431,-0.756
461,4.394,0.317,-0.246,-0.074,0.093,0.146,0.282,-0.042,0.184,0.635,0.597,0.08
464,5.605,0.287,0.157,0.154,0.389,-0.118,0.827,-3.111,0.326,0.11,0.154,0.489
465,4.439,0.011,-0.294,0.941,0.683,-0.315,1.061,-0.173,0.826,1.491,0.539,0.162
466,3.983,0.16,0.2,0.234,-0.054,0.052,0.47,0.018,0.703,0.805,1.926,0.071
468,3.321,0.066,0.086,-0.058,0.082,0.078,0.07,0.081,0.066,0.089,1.811,0.101
470,4.928,0.397,0.739,-0.732,0.28,0.013,0.234,-0.203,0.63,0.507,0.749,0.528
476,1.98,0.544,0.332,0.317,-0.477,0.247,0.28,-0.405,-0.079,-0.092,1.565,-0.244
481,3.994,0.5,2.542,-0.103,-0.309,-0.433,0.151,0.037,-0.285,0.053,-0.024,2.769
482,2.848,0.181,0.3,0.039,0.846,-0.077,0.224,0.006,-0.092,-0.074,0.101,0.326
483,3.481,0.173,0.287,-0.094,0.057,0.005,0.177,0.039,0.182,0.078,0.877,-0.037
484,5.297,0.552,0.802,-0.014,-0.142,-0.284,0.191,0.631,-0.064,-0.177,1.294,0.221
485,2.244,1.149,0.595,-0.441,0.363,0.018,-0.324,-0.097,0.346,1.138,2.494,0.481
