INDEX,Intercept,OAU2,OAU3,MTY2,EIN1,EIN3,SIN2,SIN3,EFI1,EFI3,AFI2,AFI3,PRICE
298,4.512,0.282,0.144,0.028,0.173,0.998,-0.917,0.429,-0.037,-0.186,-0.059,0.012,-0.454
299,8.023,-0.262,-0.008,-0.136,-0.319,0.091,1.208,0.357,0.117,0.056,-0.28,0.015,0.462
300,4.081,0.356,-0.658,-0.761,-1.433,-0.46,2.916,0.891,0.309,0.395,-0.27,0.568,-0.214
301,1.722,0.236,-0.293,0.654,-0.958,0.812,1.647,0.688,-0.116,1.171,-0.144,-0.654,-0.518
303,5.443,-0.025,-0.333,0.366,-0.799,0.923,0.162,0.526,0.179,0.351,0.128,-0.105,0.141
305,4.877,0.675,-0.309,0.953,-0.697,0.228,1.656,-0.54,-0.302,0.958,1.181,-0.957,0.317
306,7.057,1.344,1.021,-0.228,-2.485,-0.159,1.572,1.081,-0.237,-0.244,-0.511,0.554,-1.302
308,8.593,0.463,0.323,-0.041,-2.764,0.295,0.64,0.343,0.578,0.344,1.032,0.365,0.141
313,5.787,0.161,0.046,0.273,-2.361,0.615,0.406,0.261,0.038,0.401,0.391,0.025,0.113
314,1.697,0.392,0.215,0.204,-0.459,0.408,1.044,-0.077,-0.18,0.19,0.201,-0.423,0.154
316,11.463,0.334,0.355,0.354,-3.266,0.35,0.238,0.34,0.339,0.342,0.356,0.348,0.353
317,3.967,0.955,0.337,-0.119,-0.758,0.385,2.063,-0.551,0.382,1.603,1.491,-0.809,-0.495
318,3.207,-0.142,0.316,0.327,-0.175,0.345,0.22,0.048,-0.045,-0.197,0.162,-0.054,0.048
319,1.928,0.958,-0.118,0.805,0.063,3.41,-0.237,0.171,0.282,0.451,0.211,0.411,0.052
320,6.896,0.701,0.926,0.578,-2.571,0.362,0.754,-0.561,0.111,0.976,0.731,-0.579,0.106
323,4.538,0.225,0.273,0.541,-1.541,0.192,1.353,0.327,0.545,0.72,0.361,0.461,-0.046
